Abstract from facility WITHOUT CoC accreditation/All Sites/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
12,11-<12 mo,255,8,13,96.78%,47.75%,99.92%,98.57%,96.86%,48.44%,1.12%,1.79%,1.12%,1.81%
13,12-<13 mo,234,8,16,96.46%,46.06%,99.92%,98.49%,96.54%,46.77%,1.23%,1.82%,1.23%,1.85%
14,13-<14 mo,210,7,19,96.51%,44.45%,99.92%,98.40%,96.59%,45.17%,1.30%,1.86%,1.30%,1.89%
15,14-<15 mo,184,7,18,96.00%,42.67%,99.92%,98.32%,96.08%,43.40%,1.48%,1.90%,1.48%,1.93%
16,15-<16 mo,159,3,20,97.99%,41.81%,99.93%,98.26%,98.05%,42.55%,1.15%,1.93%,1.15%,1.96%
17,16-<17 mo,136,2,22,98.40%,41.14%,99.93%,98.19%,98.47%,41.90%,1.12%,1.95%,1.12%,1.99%
18,17-<18 mo,112,6,21,94.09%,38.71%,99.93%,98.12%,94.16%,39.45%,2.34%,2.07%,2.34%,2.11%
19,18-<19 mo,85,2,17,97.39%,37.70%,99.93%,98.05%,97.45%,38.45%,1.82%,2.14%,1.83%,2.18%
20,19-<20 mo,66,0,8,100.00%,37.70%,99.92%,97.97%,100.0000%*,38.4505%#,0.00%,2.14%,0.00%,2.1824%#
21,20-<21 mo,58,0,19,100.00%,37.70%,99.94%,97.91%,100.0000%*,38.4505%#,0.00%,2.14%,0.00%,2.1824%#
22,21-<22 mo,39,1,14,96.88%,36.52%,99.94%,97.85%,96.93%,37.32%,3.08%,2.38%,3.08%,2.43%
23,22-<23 mo,24,1,12,94.44%,34.49%,99.95%,97.81%,94.49%,35.27%,5.40%,2.99%,5.40%,3.05%
24,23-<24 mo,11,0,11,+,+,99.96%,97.76%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 10.6407 intervals; Relative = 11.0091 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Brain/All Included Ages (System Generated),,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"1,011",110,64,88.76%,88.76%,99.78%,99.78%,88.96%,88.96%,1.01%,1.01%,1.01%,1.01%
2,1-<2 mo,837,85,28,89.67%,79.60%,99.80%,99.59%,89.85%,79.93%,1.06%,1.31%,1.06%,1.31%
3,2-<3 mo,724,71,44,89.89%,71.55%,99.83%,99.41%,90.04%,71.97%,1.14%,1.48%,1.14%,1.49%
4,3-<4 mo,609,54,30,90.91%,65.04%,99.86%,99.28%,91.03%,65.51%,1.18%,1.59%,1.18%,1.60%
5,4-<5 mo,525,35,29,93.14%,60.58%,99.88%,99.17%,93.25%,61.09%,1.12%,1.65%,1.12%,1.66%
6,5-<6 mo,461,30,28,93.29%,56.52%,99.90%,99.06%,93.39%,57.05%,1.18%,1.70%,1.18%,1.71%
7,6-<7 mo,403,13,27,96.66%,54.63%,99.91%,98.98%,96.75%,55.20%,0.91%,1.72%,0.91%,1.74%
8,7-<8 mo,363,9,20,97.45%,53.24%,99.92%,98.89%,97.53%,53.83%,0.84%,1.74%,0.84%,1.76%
9,8-<9 mo,334,13,27,95.94%,51.08%,99.92%,98.81%,96.02%,51.69%,1.10%,1.77%,1.10%,1.79%
10,9-<10 mo,294,11,25,96.09%,49.08%,99.92%,98.74%,96.17%,49.71%,1.15%,1.80%,1.16%,1.82%
11,10-<11 mo,258,10,24,95.94%,47.09%,99.93%,98.67%,96.00%,47.72%,1.26%,1.83%,1.26%,1.86%
12,11-<12 mo,224,7,12,96.79%,45.58%,99.93%,98.60%,96.86%,46.22%,1.19%,1.86%,1.19%,1.89%
13,12-<13 mo,205,8,13,95.97%,43.74%,99.93%,98.52%,96.04%,44.39%,1.40%,1.90%,1.40%,1.92%
14,13-<14 mo,184,7,17,96.01%,41.99%,99.93%,98.45%,96.08%,42.65%,1.48%,1.93%,1.48%,1.96%
15,14-<15 mo,160,6,16,96.05%,40.34%,99.93%,98.38%,96.12%,41.00%,1.58%,1.97%,1.58%,2.00%
16,15-<16 mo,138,3,17,97.68%,39.40%,99.93%,98.31%,97.75%,40.08%,1.32%,2.00%,1.32%,2.03%
17,16-<17 mo,118,2,19,98.16%,38.68%,99.93%,98.25%,98.22%,39.37%,1.29%,2.03%,1.29%,2.06%
18,17-<18 mo,97,6,15,93.30%,36.08%,99.93%,98.18%,93.36%,36.75%,2.64%,2.15%,2.65%,2.19%
19,18-<19 mo,76,2,16,97.06%,35.02%,99.93%,98.11%,97.13%,35.70%,2.05%,2.21%,2.05%,2.25%
20,19-<20 mo,58,0,8,100.00%,35.02%,99.92%,98.03%,100.0000%*,35.6966%#,0.00%,2.21%,0.00%,2.2548%#
21,20-<21 mo,50,0,14,100.00%,35.02%,99.94%,97.98%,100.0000%*,35.6966%#,0.00%,2.21%,0.00%,2.2548%#
22,21-<22 mo,36,1,13,96.61%,33.83%,99.94%,97.91%,96.67%,34.56%,3.33%,2.44%,3.33%,2.49%
23,22-<23 mo,22,1,11,93.94%,31.78%,99.95%,97.87%,93.99%,32.48%,5.87%,3.03%,5.88%,3.10%
24,23-<24 mo,10,0,10,+,+,99.95%,97.82%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 9.54015 intervals; Relative = 9.8538 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Cranial Nerves Other Nervous System/All Included Ages (System Generated),,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,81,6,3,92.45%,92.45%,99.84%,99.84%,92.60%,92.60%,2.96%,2.96%,2.97%,2.97%
2,1-<2 mo,72,3,3,95.74%,88.52%,99.85%,99.69%,95.89%,88.79%,2.40%,3.60%,2.41%,3.61%
3,2-<3 mo,66,2,0,96.97%,85.84%,99.85%,99.54%,97.12%,86.23%,2.11%,3.96%,2.11%,3.98%
4,3-<4 mo,64,3,5,95.12%,81.65%,99.85%,99.39%,95.26%,82.15%,2.75%,4.45%,2.75%,4.47%
5,4-<5 mo,56,2,3,96.33%,78.65%,99.85%,99.25%,96.47%,79.25%,2.55%,4.76%,2.55%,4.80%
6,5-<6 mo,51,0,5,100.00%,78.65%,99.86%,99.11%,100.0000%*,79.2495%#,0.00%,4.76%,0.00%,4.7968%#
7,6-<7 mo,46,1,5,97.70%,76.84%,99.86%,98.97%,97.84%,77.64%,2.27%,4.98%,2.28%,5.03%
8,7-<8 mo,40,0,4,100.00%,76.84%,99.88%,98.85%,100.0000%*,77.6410%#,0.00%,4.98%,0.00%,5.0344%#
9,8-<9 mo,36,0,1,100.00%,76.84%,99.88%,98.73%,100.0000%*,77.6410%#,0.00%,4.98%,0.00%,5.0344%#
10,9-<10 mo,35,0,4,100.00%,76.84%,99.88%,98.61%,100.0000%*,77.6410%#,0.00%,4.98%,0.00%,5.0344%#
11,10-<11 mo,31,0,0,100.00%,76.84%,99.87%,98.48%,100.0000%*,77.6410%#,0.00%,4.98%,0.00%,5.0344%#
12,11-<12 mo,31,1,1,96.72%,74.33%,99.87%,98.35%,96.85%,75.57%,3.22%,5.42%,3.23%,5.51%
13,12-<13 mo,29,0,3,100.00%,74.33%,99.85%,98.21%,100.0000%*,75.5704%#,0.00%,5.42%,0.00%,5.5099%#
14,13-<14 mo,26,0,2,100.00%,74.33%,99.85%,98.06%,100.0000%*,75.5704%#,0.00%,5.42%,0.00%,5.5099%#
15,14-<15 mo,24,1,2,95.65%,71.09%,99.86%,97.92%,95.79%,72.60%,4.25%,6.07%,4.26%,6.20%
16,15-<16 mo,21,0,3,100.00%,71.09%,99.92%,97.84%,100.0000%*,72.6005%#,0.00%,6.07%,0.00%,6.1997%#
17,16-<17 mo,18,0,3,100.00%,71.09%,99.92%,97.76%,100.0000%*,72.6005%#,0.00%,6.07%,0.00%,6.1997%#
18,17-<18 mo,15,0,6,100.00%,71.09%,99.90%,97.67%,100.0000%*,72.6005%#,0.00%,6.07%,0.00%,6.1997%#
19,18-<19 mo,9,0,1,100.00%,71.09%,99.94%,97.61%,100.0000%*,72.6005%#,0.00%,6.07%,0.00%,6.1997%#
20,19-<20 mo,8,0,0,100.00%,71.09%,99.93%,97.54%,100.0000%*,72.6005%#,0.00%,6.07%,0.00%,6.1997%#
21,20-<21 mo,8,0,5,100.00%,71.09%,99.93%,97.48%,100.0000%*,72.6005%#,0.00%,6.07%,0.00%,6.1997%#
22,21-<22 mo,3,0,1,100.00%,71.09%,99.98%,97.46%,100.0000%*,72.6005%#,0.00%,6.07%,0.00%,6.1997%#
23,22-<23 mo,2,0,1,100.00%,71.09%,99.97%,97.43%,100.0000%*,72.6005%#,0.00%,6.07%,0.00%,6.1997%#
24,23-<24 mo,1,0,1,+,+,100.00%,97.43%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Endocrine System/All Included Ages (System Generated),,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"4,397",34,286,99.20%,99.20%,99.94%,99.94%,99.26%,99.26%,0.14%,0.14%,0.14%,0.14%
2,1-<2 mo,"4,077",13,225,99.67%,98.88%,99.94%,99.87%,99.73%,99.00%,0.09%,0.16%,0.09%,0.16%
3,2-<3 mo,"3,839",5,223,99.87%,98.74%,99.94%,99.81%,99.93%,98.93%,0.06%,0.17%,0.06%,0.17%
4,3-<4 mo,"3,611",13,178,99.63%,98.38%,99.94%,99.75%,99.69%,98.62%,0.10%,0.20%,0.10%,0.20%
5,4-<5 mo,"3,420",12,205,99.64%,98.02%,99.94%,99.69%,99.70%,98.33%,0.10%,0.22%,0.10%,0.22%
6,5-<6 mo,"3,203",10,190,99.68%,97.71%,99.94%,99.63%,99.74%,98.07%,0.10%,0.24%,0.10%,0.25%
7,6-<7 mo,"3,003",6,185,99.79%,97.51%,99.94%,99.57%,99.85%,97.93%,0.08%,0.26%,0.08%,0.26%
8,7-<8 mo,"2,812",2,180,99.93%,97.43%,99.94%,99.51%,99.99%,97.92%,0.05%,0.26%,0.05%,0.26%
9,8-<9 mo,"2,630",6,156,99.76%,97.21%,99.94%,99.45%,99.83%,97.74%,0.10%,0.28%,0.10%,0.28%
10,9-<10 mo,"2,468",2,153,99.92%,97.12%,99.94%,99.39%,99.98%,97.72%,0.06%,0.28%,0.06%,0.29%
11,10-<11 mo,"2,313",1,185,99.96%,97.08%,99.94%,99.33%,100.0000%*,97.7217%#,0.05%,0.29%,0.05%,0.2853%#
12,11-<12 mo,"2,127",3,181,99.85%,96.94%,99.94%,99.27%,99.91%,97.65%,0.09%,0.30%,0.09%,0.30%
13,12-<13 mo,"1,943",5,158,99.73%,96.68%,99.93%,99.20%,99.80%,97.45%,0.12%,0.32%,0.12%,0.32%
14,13-<14 mo,"1,780",2,175,99.88%,96.56%,99.93%,99.14%,99.95%,97.40%,0.08%,0.33%,0.08%,0.33%
15,14-<15 mo,"1,603",2,162,99.87%,96.44%,99.94%,99.07%,99.93%,97.34%,0.09%,0.34%,0.09%,0.34%
16,15-<16 mo,"1,439",0,164,100.00%,96.44%,99.93%,99.01%,100.0000%*,97.3378%#,0.00%,0.34%,0.00%,0.3435%#
17,16-<17 mo,"1,275",2,180,99.83%,96.27%,99.93%,98.94%,99.90%,97.30%,0.12%,0.36%,0.12%,0.36%
18,17-<18 mo,"1,093",0,181,100.00%,96.27%,99.94%,98.88%,100.0000%*,97.3006%#,0.00%,0.36%,0.00%,0.3625%#
19,18-<19 mo,912,0,154,100.00%,96.27%,99.93%,98.82%,100.0000%*,97.3006%#,0.00%,0.36%,0.00%,0.3625%#
20,19-<20 mo,758,0,172,100.00%,96.27%,99.93%,98.75%,100.0000%*,97.3006%#,0.00%,0.36%,0.00%,0.3625%#
21,20-<21 mo,586,1,152,99.80%,96.08%,99.93%,98.68%,99.87%,97.3006%#,0.20%,0.40%,0.20%,0.3625%#
22,21-<22 mo,433,0,143,100.00%,96.08%,99.93%,98.62%,100.0000%*,97.3006%#,0.00%,0.40%,0.00%,0.3625%#
23,22-<23 mo,290,0,153,100.00%,96.08%,99.94%,98.56%,100.0000%*,97.3006%#,0.00%,0.40%,0.00%,0.3625%#
24,23-<24 mo,137,0,137,+,+,99.93%,98.49%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Thyroid/All Included Ages (System Generated),,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"4,256",26,274,99.37%,99.37%,99.94%,99.94%,99.43%,99.43%,0.12%,0.12%,0.12%,0.12%
2,1-<2 mo,"3,956",5,215,99.87%,99.24%,99.94%,99.88%,99.93%,99.36%,0.06%,0.14%,0.06%,0.14%
3,2-<3 mo,"3,736",3,220,99.92%,99.16%,99.94%,99.82%,99.98%,99.34%,0.05%,0.14%,0.05%,0.14%
4,3-<4 mo,"3,513",11,177,99.68%,98.84%,99.94%,99.76%,99.74%,99.08%,0.10%,0.17%,0.10%,0.17%
5,4-<5 mo,"3,325",8,199,99.75%,98.59%,99.94%,99.70%,99.81%,98.89%,0.09%,0.19%,0.09%,0.19%
6,5-<6 mo,"3,118",10,185,99.67%,98.27%,99.94%,99.64%,99.73%,98.62%,0.10%,0.22%,0.10%,0.22%
7,6-<7 mo,"2,923",6,178,99.79%,98.06%,99.94%,99.58%,99.85%,98.47%,0.09%,0.23%,0.09%,0.23%
8,7-<8 mo,"2,739",2,177,99.92%,97.99%,99.94%,99.52%,99.98%,98.45%,0.05%,0.24%,0.05%,0.24%
9,8-<9 mo,"2,560",4,150,99.84%,97.83%,99.94%,99.47%,99.90%,98.35%,0.08%,0.25%,0.08%,0.25%
10,9-<10 mo,"2,406",2,147,99.91%,97.74%,99.94%,99.41%,99.97%,98.33%,0.06%,0.26%,0.06%,0.26%
11,10-<11 mo,"2,257",1,179,99.95%,97.70%,99.94%,99.35%,100.0000%*,98.3272%#,0.05%,0.26%,0.05%,0.2595%#
12,11-<12 mo,"2,077",2,176,99.90%,97.60%,99.94%,99.29%,99.96%,98.30%,0.07%,0.27%,0.07%,0.27%
13,12-<13 mo,"1,899",4,157,99.78%,97.39%,99.94%,99.22%,99.84%,98.15%,0.11%,0.29%,0.11%,0.29%
14,13-<14 mo,"1,738",0,171,100.00%,97.39%,99.94%,99.16%,100.0000%*,98.1475%#,0.00%,0.29%,0.00%,0.2927%#
15,14-<15 mo,"1,567",2,158,99.87%,97.26%,99.94%,99.10%,99.93%,98.14%,0.10%,0.30%,0.10%,0.31%
16,15-<16 mo,"1,407",0,162,100.00%,97.26%,99.94%,99.04%,100.0000%*,98.1403%#,0.00%,0.30%,0.00%,0.3072%#
17,16-<17 mo,"1,245",2,175,99.83%,97.09%,99.94%,98.97%,99.89%,98.10%,0.12%,0.33%,0.12%,0.33%
18,17-<18 mo,"1,068",0,179,100.00%,97.09%,99.94%,98.91%,100.0000%*,98.0959%#,0.00%,0.33%,0.00%,0.3297%#
19,18-<19 mo,889,0,151,100.00%,97.09%,99.94%,98.85%,100.0000%*,98.0959%#,0.00%,0.33%,0.00%,0.3297%#
20,19-<20 mo,738,0,169,100.00%,97.09%,99.94%,98.78%,100.0000%*,98.0959%#,0.00%,0.33%,0.00%,0.3297%#
21,20-<21 mo,569,1,146,99.80%,96.89%,99.93%,98.72%,99.87%,98.0959%#,0.20%,0.38%,0.20%,0.3297%#
22,21-<22 mo,422,0,141,100.00%,96.89%,99.94%,98.66%,100.0000%*,98.0959%#,0.00%,0.38%,0.00%,0.3297%#
23,22-<23 mo,281,0,150,100.00%,96.89%,99.94%,98.60%,100.0000%*,98.0959%#,0.00%,0.38%,0.00%,0.3297%#
24,23-<24 mo,131,0,131,+,+,99.94%,98.54%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Other Endocrine including Thymus/All Included Ages (System Generated),,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,141,8,12,94.07%,94.07%,99.84%,99.84%,94.22%,94.22%,2.03%,2.03%,2.04%,2.04%
2,1-<2 mo,121,8,10,93.10%,87.59%,99.85%,99.69%,93.25%,87.86%,2.35%,2.91%,2.36%,2.92%
3,2-<3 mo,103,2,3,98.03%,85.86%,99.86%,99.55%,98.17%,86.25%,1.38%,3.10%,1.38%,3.11%
4,3-<4 mo,98,2,1,97.95%,84.10%,99.86%,99.41%,98.08%,84.59%,1.44%,3.28%,1.44%,3.30%
5,4-<5 mo,95,4,6,95.65%,80.44%,99.87%,99.28%,95.78%,81.02%,2.13%,3.61%,2.13%,3.63%
6,5-<6 mo,85,0,5,100.00%,80.44%,99.87%,99.16%,100.0000%*,81.0231%#,0.00%,3.61%,0.00%,3.6344%#
7,6-<7 mo,80,0,7,100.00%,80.44%,99.88%,99.04%,100.0000%*,81.0231%#,0.00%,3.61%,0.00%,3.6344%#
8,7-<8 mo,73,0,3,100.00%,80.44%,99.89%,98.93%,100.0000%*,81.0231%#,0.00%,3.61%,0.00%,3.6344%#
9,8-<9 mo,70,2,6,97.01%,78.04%,99.89%,98.83%,97.12%,78.97%,2.08%,3.88%,2.08%,3.93%
10,9-<10 mo,62,0,6,100.00%,78.04%,99.89%,98.72%,100.0000%*,78.9682%#,0.00%,3.88%,0.00%,3.9257%#
11,10-<11 mo,56,0,6,100.00%,78.04%,99.89%,98.61%,100.0000%*,78.9682%#,0.00%,3.88%,0.00%,3.9257%#
12,11-<12 mo,50,1,5,97.89%,76.40%,99.88%,98.50%,98.01%,77.56%,2.08%,4.13%,2.09%,4.19%
13,12-<13 mo,44,1,1,97.70%,74.64%,99.89%,98.38%,97.81%,75.87%,2.27%,4.39%,2.27%,4.47%
14,13-<14 mo,42,2,4,95.00%,70.91%,99.88%,98.27%,95.11%,72.16%,3.45%,4.90%,3.45%,4.99%
15,14-<15 mo,36,0,4,100.00%,70.91%,99.88%,98.15%,100.0000%*,72.1595%#,0.00%,4.90%,0.00%,4.9893%#
16,15-<16 mo,32,0,2,100.00%,70.91%,99.87%,98.02%,100.0000%*,72.1595%#,0.00%,4.90%,0.00%,4.9893%#
17,16-<17 mo,30,0,5,100.00%,70.91%,99.87%,97.89%,100.0000%*,72.1595%#,0.00%,4.90%,0.00%,4.9893%#
18,17-<18 mo,25,0,2,100.00%,70.91%,99.88%,97.78%,100.0000%*,72.1595%#,0.00%,4.90%,0.00%,4.9893%#
19,18-<19 mo,23,0,3,100.00%,70.91%,99.87%,97.65%,100.0000%*,72.1595%#,0.00%,4.90%,0.00%,4.9893%#
20,19-<20 mo,20,0,3,100.00%,70.91%,99.87%,97.52%,100.0000%*,72.1595%#,0.00%,4.90%,0.00%,4.9893%#
21,20-<21 mo,17,0,6,100.00%,70.91%,99.85%,97.38%,100.0000%*,72.1595%#,0.00%,4.90%,0.00%,4.9893%#
22,21-<22 mo,11,0,2,100.00%,70.91%,99.82%,97.20%,100.0000%*,72.1595%#,0.00%,4.90%,0.00%,4.9893%#
23,22-<23 mo,9,0,3,100.00%,70.91%,99.81%,97.02%,100.0000%*,72.1595%#,0.00%,4.90%,0.00%,4.9893%#
24,23-<24 mo,6,0,6,+,+,99.81%,96.83%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abstract from facility WITHOUT CoC accreditation/Lymphoma/All Included Ages (System Generated),,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"6,163",354,298,94.11%,94.11%,99.78%,99.78%,94.32%,94.32%,0.30%,0.30%,0.30%,0.30%
2,1-<2 mo,"5,511",173,238,96.79%,91.09%,99.79%,99.57%,96.99%,91.48%,0.24%,0.37%,0.24%,0.37%
3,2-<3 mo,"5,100",110,266,97.79%,89.08%,99.80%,99.38%,97.98%,89.64%,0.21%,0.41%,0.21%,0.41%
4,3-<4 mo,"4,724",73,239,98.41%,87.66%,99.81%,99.19%,98.60%,88.38%,0.18%,0.43%,0.18%,0.44%
5,4-<5 mo,"4,412",58,239,98.65%,86.48%,99.81%,99.00%,98.83%,87.35%,0.18%,0.46%,0.18%,0.46%
6,5-<6 mo,"4,115",52,261,98.69%,85.35%,99.82%,98.82%,98.88%,86.37%,0.18%,0.48%,0.18%,0.48%
7,6-<7 mo,"3,802",40,211,98.92%,84.43%,99.82%,98.64%,99.09%,85.59%,0.17%,0.49%,0.17%,0.50%
8,7-<8 mo,"3,551",32,223,99.07%,83.64%,99.82%,98.47%,99.24%,84.94%,0.16%,0.51%,0.16%,0.52%
9,8-<9 mo,"3,296",28,251,99.12%,82.90%,99.83%,98.30%,99.29%,84.34%,0.17%,0.52%,0.17%,0.53%
10,9-<10 mo,"3,017",22,211,99.24%,82.28%,99.83%,98.13%,99.42%,83.85%,0.16%,0.53%,0.16%,0.54%
11,10-<11 mo,"2,784",14,217,99.48%,81.85%,99.83%,97.96%,99.65%,83.55%,0.14%,0.54%,0.14%,0.56%
12,11-<12 mo,"2,553",27,212,98.90%,80.94%,99.83%,97.79%,99.07%,82.77%,0.21%,0.57%,0.21%,0.58%
13,12-<13 mo,"2,314",11,176,99.51%,80.54%,99.81%,97.61%,99.69%,82.52%,0.15%,0.58%,0.15%,0.59%
14,13-<14 mo,"2,127",7,189,99.66%,80.27%,99.81%,97.42%,99.84%,82.39%,0.13%,0.58%,0.13%,0.60%
15,14-<15 mo,"1,931",10,205,99.45%,79.83%,99.81%,97.24%,99.64%,82.09%,0.17%,0.60%,0.17%,0.61%
16,15-<16 mo,"1,716",6,217,99.63%,79.53%,99.82%,97.06%,99.81%,81.94%,0.15%,0.61%,0.15%,0.62%
17,16-<17 mo,"1,493",4,203,99.71%,79.30%,99.82%,96.88%,99.90%,81.85%,0.14%,0.61%,0.14%,0.63%
18,17-<18 mo,"1,286",4,217,99.66%,79.03%,99.82%,96.71%,99.84%,81.72%,0.17%,0.63%,0.17%,0.65%
19,18-<19 mo,"1,065",2,178,99.80%,78.87%,99.82%,96.54%,99.97%,81.70%,0.14%,0.64%,0.15%,0.66%
20,19-<20 mo,885,4,163,99.50%,78.48%,99.83%,96.38%,99.67%,81.43%,0.25%,0.66%,0.25%,0.69%
21,20-<21 mo,718,3,188,99.52%,78.10%,99.83%,96.21%,99.69%,81.17%,0.28%,0.69%,0.28%,0.72%
22,21-<22 mo,527,2,186,99.54%,77.74%,99.83%,96.06%,99.70%,80.93%,0.33%,0.74%,0.33%,0.77%
23,22-<23 mo,339,0,194,100.00%,77.74%,99.83%,95.89%,100.0000%*,80.9322%#,0.00%,0.74%,0.00%,0.7666%#
24,23-<24 mo,145,0,145,+,+,99.84%,95.74%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
